Date,Team,Player,Acquired,Relinquished,Notes,EstimatedDaysOut
2018-12-30,Thunder,• Paul George,• Paul George,,returned to lineup,2.0
2019-02-28,Thunder,• Paul George,,• Paul George,sore right shoulder (DTD),
2019-03-05,Thunder,• Paul George,• Paul George,,returned to lineup,5.0
2019-04-10,Thunder,• Paul George,,• Paul George,placed on IL with sore right shoulder,
2019-04-14,Thunder,• Paul George,• Paul George,,activated from IL,4.0
2019-10-22,Clippers,• Paul George,,• Paul George,placed on IL with right shoulder injury,
2019-11-14,Clippers,• Paul George,• Paul George,,activated from IL,23.0
2020-01-04,Clippers,• Paul George,,• Paul George,placed on IL with left hamstring injury,
2020-01-05,Clippers,• Paul George,• Paul George,,activated from IL,1.0
2020-01-09,Clippers,• Paul George,,• Paul George,strained left hamstring (DTD),
2020-01-10,Clippers,• Paul George,,• Paul George,placed on IL with strained left hamstring,
2020-01-30,Clippers,• Paul George,• Paul George,,activated from IL,20.0
2020-02-21,Clippers,• Paul George,,• Paul George,strained left hamstring (DTD),
2020-02-22,Clippers,• Paul George,,• Paul George,placed on IL with strained left hamstring,
2020-02-24,Clippers,• Paul George,• Paul George,,activated from IL,2.0
2021-01-05,Clippers,• Paul George,,• Paul George,sore right ankle (DTD),
2021-01-06,Clippers,• Paul George,• Paul George,,returned to lineup,1.0
2021-01-25,Clippers,• Paul George,,• Paul George,placed on IL with NBA health and safety protocols,
2021-01-29,Clippers,• Paul George,• Paul George,,activated from IL,4.0
2021-02-05,Clippers,• Paul George,,• Paul George,placed on IL with sore right foot,
2021-02-19,Clippers,• Paul George,• Paul George,,activated from IL,14.0
2021-03-04,Clippers,• Paul George,,• Paul George,dizziness (DTD),
2021-03-11,Clippers,• Paul George,• Paul George,,returned to lineup,7.0
2021-03-29,Clippers,• Paul George,,• Paul George,sore right foot (DTD),
2021-03-30,Clippers,• Paul George,,• Paul George,placed on IL with sore right foot,
2021-04-01,Clippers,• Paul George,• Paul George,,activated from IL,2.0
2021-12-08,Clippers,• Paul George,,• Paul George,right elbow injury (DTD),
2021-12-11,Clippers,• Paul George,,• Paul George,placed on IL with right elbow injury,
2021-12-20,Clippers,• Paul George,• Paul George,,activated from IL,9.0
2021-12-25,Clippers,• Paul George,,• Paul George,placed on IL with torn ligament in right elbow,
2022-03-29,Clippers,• Paul George,• Paul George,,activated from IL,94.0
2022-04-01,Clippers,• Paul George,,• Paul George,placed on IL with right elbow injury,
2022-04-02,Clippers,• Paul George,• Paul George,,activated from IL,1.0
2022-04-10,Clippers,• Paul George,,• Paul George,placed on IL with NBA health and safety protocols (out for season),
2022-10-24,Clippers,• Paul George,,• Paul George,placed on IL with illness,
2022-10-26,Clippers,• Paul George,• Paul George,,activated from IL,2.0
2022-11-21,Clippers,• Paul George,,• Paul George,placed on IL with right hamstring injury / sore right knee,
2022-12-05,Clippers,• Paul George,• Paul George,,activated from IL,14.0
2022-12-15,Clippers,• Paul George,,• Paul George,placed on IL with sore left knee,
2022-12-21,Clippers,• Paul George,• Paul George,,activated from IL,6.0
2023-01-06,Clippers,• Paul George,,• Paul George,placed on IL with sore right hamstring,
2023-01-17,Clippers,• Paul George,• Paul George,,activated from IL,11.0
2023-01-18,Clippers,• Paul George,,• Paul George,placed on IL with right hamstring injury,
2023-01-20,Clippers,• Paul George,• Paul George,,activated from IL,2.0
2023-03-22,Clippers,• Paul George,,• Paul George,placed on IL with sprained right knee (out for season),
2023-12-14,Clippers,• Paul George,,• Paul George,placed on IL with sore left hip,
2023-12-16,Clippers,• Paul George,• Paul George,,activated from IL,2.0
2023-12-20,Clippers,• Paul George,,• Paul George,placed on IL with illness,
2023-12-21,Clippers,• Paul George,• Paul George,,activated from IL,1.0
2024-01-31,Clippers,• Paul George,,• Paul George,placed on IL with left groin injury,
2024-02-01,Clippers,• Paul George,• Paul George,,activated from IL,1.0
2024-02-25,Clippers,• Paul George,,• Paul George,placed on IL with sore left knee,
2024-03-01,Clippers,• Paul George,• Paul George,,activated from IL,5.0
2024-03-10,Clippers,• Paul George,,• Paul George,placed on IL with sore left knee,
2024-03-12,Clippers,• Paul George,• Paul George,,activated from IL,2.0
2024-04-10,Clippers,• Paul George,,• Paul George,placed on IL with sore left knee,
2024-04-11,Clippers,• Paul George,• Paul George,,activated from IL,1.0
2024-10-15,76ers,• Paul George,,• Paul George,knee injury (out indefinitely),
2024-10-25,76ers,• Paul George,,• Paul George,placed on IL with knee injury,
2024-11-04,76ers,• Paul George,• Paul George,,activated from IL,10.0
2024-11-21,76ers,• Paul George,,• Paul George,placed on IL with bruised left knee,
2024-11-30,76ers,• Paul George,• Paul George,,activated from IL,9.0
2025-01-07,76ers,• Paul George,,• Paul George,tightness in left groin (DTD),
2025-01-10,76ers,• Paul George,• Paul George,,returned to lineup,3.0
2025-01-14,76ers,• Paul George,,• Paul George,sore right ankle (DTD),
2025-01-15,76ers,• Paul George,• Paul George,,returned to lineup,1.0
2025-01-18,76ers,• Paul George,,• Paul George,tightness in left groin (DTD),
2025-01-21,76ers,• Paul George,• Paul George,,returned to lineup,3.0
2025-01-27,76ers,• Paul George,,• Paul George,placed on IL with extensor tendon injury in left finger,
2025-02-05,76ers,• Paul George,• Paul George,,activated from IL,9.0
2025-03-03,76ers,• Paul George,,• Paul George,sore left groin (DTD),
2025-03-04,76ers,• Paul George,• Paul George,,returned to lineup,1.0
2025-03-06,76ers,• Paul George,,• Paul George,placed on IL with adductor injury / groin injury (out for season),
2025-07-14,76ers,• Paul George,,• Paul George,arthroscopic surgery on left knee (out indefinitely),
2016-01-28,Hawks,• Paul Millsap,,• Paul Millsap,sprained left ankle (DTD),
2016-09-22,Hawks,• Paul Millsap,,• Paul Millsap,procedure on right knee to reduce swelling (out indefinitely),
2016-11-30,Hawks,• Paul Millsap,,• Paul Millsap,sore left hip (DTD),
2016-12-03,Hawks,• Paul Millsap,,• Paul Millsap,placed on IL with sore left hip,
2016-12-05,Hawks,• Paul Millsap,• Paul Millsap,,activated from IL,2.0
2017-03-18,Hawks,• Paul Millsap,,• Paul Millsap,tightness in left knee (DTD),
2017-03-20,Hawks,• Paul Millsap,,• Paul Millsap,placed on IL with tightness in left knee,
2017-04-02,Hawks,• Paul Millsap,• Paul Millsap,,activated from IL,13.0
2017-04-07,Hawks,• Paul Millsap,,• Paul Millsap,placed on IL with sore left knee,
2017-04-09,Hawks,• Paul Millsap,• Paul Millsap,,activated from IL,2.0
2017-04-12,Hawks,• Paul Millsap,,• Paul Millsap,placed on IL for rest,
2017-11-19,Nuggets,• Paul Millsap,,• Paul Millsap,sore left wrist (DTD),
2017-11-20,Nuggets,• Paul Millsap,,• Paul Millsap,placed on IL with sprained left wrist,
2017-11-27,Nuggets,• Paul Millsap,,• Paul Millsap,surgery on left wrist (out indefinitely),
2018-02-27,Nuggets,• Paul Millsap,• Paul Millsap,,activated from IL,92.0
2018-12-08,Nuggets,• Paul Millsap,,• Paul Millsap,placed on IL with right big toe injury,
2018-12-29,Nuggets,• Paul Millsap,• Paul Millsap,,activated from IL,21.0
2019-02-04,Nuggets,• Paul Millsap,,• Paul Millsap,sore right ankle (DTD),
2019-02-06,Nuggets,• Paul Millsap,,• Paul Millsap,placed on IL with sore right ankle,
2019-02-11,Nuggets,• Paul Millsap,• Paul Millsap,,activated from IL,5.0
2019-12-14,Nuggets,• Paul Millsap,,• Paul Millsap,placed on IL with strained right quadriceps,
2019-12-18,Nuggets,• Paul Millsap,• Paul Millsap,,activated from IL,4.0
2019-12-28,Nuggets,• Paul Millsap,,• Paul Millsap,placed on IL with bruised left knee,
2019-12-31,Nuggets,• Paul Millsap,• Paul Millsap,,activated from IL,3.0
2020-01-08,Nuggets,• Paul Millsap,,• Paul Millsap,placed on IL with bruised left knee,
2020-02-08,Nuggets,• Paul Millsap,• Paul Millsap,,activated from IL,31.0
2020-03-01,Nuggets,• Paul Millsap,,• Paul Millsap,placed on IL with sprained right ankle,
2020-03-03,Nuggets,• Paul Millsap,• Paul Millsap,,activated from IL,2.0
2021-02-15,Nuggets,• Paul Millsap,,• Paul Millsap,placed on IL with sprained left knee,
2021-03-12,Nuggets,• Paul Millsap,• Paul Millsap,,activated from IL,25.0
2021-12-13,Nets,• Paul Millsap,,• Paul Millsap,placed on IL with NBA health and safety protocols,
2021-12-23,Nets,• Paul Millsap,• Paul Millsap,,activated from IL,10.0
2022-04-10,76ers,• Paul Millsap,,• Paul Millsap,placed on IL with illness,
2022-04-15,76ers,• Paul Millsap,• Paul Millsap,,activated from IL,5.0
2015-12-21,Clippers,• Paul Pierce,,• Paul Pierce,sore back (DTD),
2015-12-25,Clippers,• Paul Pierce,• Paul Pierce,,returned to lineup,4.0
2016-01-29,Clippers,• Paul Pierce,,• Paul Pierce,rest (DTD),
2016-02-08,Clippers,• Paul Pierce,,• Paul Pierce,rest (DTD),
2016-03-11,Clippers,• Paul Pierce,,• Paul Pierce,sore right big toe (DTD),
2016-03-16,Clippers,• Paul Pierce,• Paul Pierce,,returned to lineup,5.0
2016-03-29,Clippers,• Paul Pierce,,• Paul Pierce,sprained right ankle (DTD),
2016-04-03,Clippers,• Paul Pierce,,• Paul Pierce,placed on IL with sprained right ankle,
2016-04-06,Clippers,• Paul Pierce,• Paul Pierce,,activated from IL,3.0
2016-04-10,Clippers,• Paul Pierce,,• Paul Pierce,placed on IL for rest,
2016-04-12,Clippers,• Paul Pierce,• Paul Pierce,,activated from IL,2.0
2016-10-24,Clippers,• Paul Pierce,,• Paul Pierce,sprained ankle (DTD),
2016-10-27,Clippers,• Paul Pierce,,• Paul Pierce,placed on IL with sprained ankle,
2016-11-04,Clippers,• Paul Pierce,• Paul Pierce,,activated from IL,8.0
2021-04-24,76ers,• Paul Reed,,• Paul Reed,placed on IL with NBA health and safety protocols,
2021-04-26,76ers,• Paul Reed,• Paul Reed,,activated from IL,2.0
2022-01-04,76ers,• Paul Reed,,• Paul Reed,placed on IL with NBA health and safety protocols,
2022-01-11,76ers,• Paul Reed,• Paul Reed,,activated from IL,7.0
2021-03-26,Raptors,• Paul Watson,,• Paul Watson,placed on IL with NBA health and safety protocols,
2021-04-14,Raptors,• Paul Watson,• Paul Watson,,activated from IL,19.0
2021-04-20,Raptors,• Paul Watson,,• Paul Watson,placed on IL with left knee tendinitis (out for season),
2016-11-20,Bulls,• Paul Zipser,,• Paul Zipser,strained lower back (DTD),
2016-12-03,Bulls,• Paul Zipser,• Paul Zipser,,returned to lineup,13.0
2016-12-28,Bulls,• Paul Zipser,,• Paul Zipser,placed on IL,
2017-01-02,Bulls,• Paul Zipser,• Paul Zipser,,activated from IL,5.0
2017-01-07,Bulls,• Paul Zipser,,• Paul Zipser,placed on IL,
2017-01-09,Bulls,• Paul Zipser,• Paul Zipser,,activated from IL,2.0
2017-02-09,Bulls,• Paul Zipser,,• Paul Zipser,left ankle tendinitis (DTD),
2017-02-10,Bulls,• Paul Zipser,,• Paul Zipser,placed on IL with left ankle tendinitis,
2017-02-16,Bulls,• Paul Zipser,,• Paul Zipser,left ankle tendinitis (DTD),
2017-02-16,Bulls,• Paul Zipser,• Paul Zipser,,activated from IL,0.0
2017-02-24,Bulls,• Paul Zipser,,• Paul Zipser,placed on IL with left ankle tendinitis,
2017-03-02,Bulls,• Paul Zipser,• Paul Zipser,,activated from IL,6.0
2017-10-26,Bulls,• Paul Zipser,,• Paul Zipser,bruised right knee (DTD),
2017-10-28,Bulls,• Paul Zipser,• Paul Zipser,,returned to lineup,2.0
2018-02-24,Bulls,• Paul Zipser,,• Paul Zipser,left foot injury (DTD),
2018-03-15,Bulls,• Paul Zipser,• Paul Zipser,,activated from IL,19.0
2018-03-23,Bulls,• Paul Zipser,,• Paul Zipser,placed on IL with sore left foot,
2018-03-24,Bulls,• Paul Zipser,• Paul Zipser,,activated from IL,1.0
2018-03-26,Bulls,• Paul Zipser,,• Paul Zipser,sore left foot (out for season),
2018-03-27,Bulls,• Paul Zipser,,• Paul Zipser,placed on IL with sore left foot (out for season),
2021-01-23,Celtics,• Payton Pritchard,,• Payton Pritchard,placed on IL with sprained MCL in right knee,
2021-02-05,Celtics,• Payton Pritchard,• Payton Pritchard,,activated from IL,13.0
2022-01-05,Celtics,• Payton Pritchard,,• Payton Pritchard,placed on IL with NBA health and safety protocols,
2022-01-12,Celtics,• Payton Pritchard,• Payton Pritchard,,activated from IL,7.0
2022-12-27,Celtics,• Payton Pritchard,,• Payton Pritchard,placed on IL with bruised right thigh,
2022-12-29,Celtics,• Payton Pritchard,• Payton Pritchard,,activated from IL,2.0
2023-03-08,Celtics,• Payton Pritchard,,• Payton Pritchard,placed on IL with left heel injury,
2023-03-28,Celtics,• Payton Pritchard,• Payton Pritchard,,activated from IL,20.0
2023-03-30,Celtics,• Payton Pritchard,,• Payton Pritchard,placed on IL with left heel injury,
2023-03-31,Celtics,• Payton Pritchard,• Payton Pritchard,,activated from IL,1.0
2023-04-05,Celtics,• Payton Pritchard,,• Payton Pritchard,placed on IL with left heel injury,
2023-04-07,Celtics,• Payton Pritchard,• Payton Pritchard,,activated from IL,2.0
2025-02-02,Celtics,• Payton Pritchard,,• Payton Pritchard,illness (DTD),
2025-02-03,Celtics,• Payton Pritchard,• Payton Pritchard,,returned to lineup,1.0
2025-03-29,Celtics,• Payton Pritchard,,• Payton Pritchard,placed on IL with hip injury,
2025-03-30,Celtics,• Payton Pritchard,• Payton Pritchard,,activated from IL,1.0
2024-12-07,Heat,• Pelle Larsson,,• Pelle Larsson,sprained right ankle (DTD),
2024-12-20,Heat,• Pelle Larsson,• Pelle Larsson,,returned to lineup,13.0
2025-04-09,Heat,• Pelle Larsson,,• Pelle Larsson,ankle injury (DTD),
2025-04-16,Heat,• Pelle Larsson,• Pelle Larsson,,returned to lineup,7.0
2025-02-28,Bucks,• Pete Nance,,• Pete Nance,placed on IL with ankle injury,
2025-03-11,Bucks,• Pete Nance,• Pete Nance,,activated from IL,11.0
2022-01-07,Nuggets,• Petr Cornelie,,• Petr Cornelie,placed on IL with NBA health and safety protocols,
2022-01-09,Nuggets,• Petr Cornelie,• Petr Cornelie,,activated from IL,2.0
2022-11-22,Nuggets,• Peyton Watson,,• Peyton Watson,placed on IL with illness,
2022-11-25,Nuggets,• Peyton Watson,• Peyton Watson,,activated from IL,3.0
2022-11-28,Nuggets,• Peyton Watson,,• Peyton Watson,placed on IL with strained right hamstring,
2022-11-28,Nuggets,• Peyton Watson,,• Peyton Watson,placed on IL,
2022-12-04,Nuggets,• Peyton Watson,,• Peyton Watson,placed on IL with strained right hamstring,
2022-12-06,Nuggets,• Peyton Watson,• Peyton Watson,,activated from IL,2.0
2022-12-14,Nuggets,• Peyton Watson,,• Peyton Watson,placed on IL,
2022-12-23,Nuggets,• Peyton Watson,• Peyton Watson,,activated from IL,9.0
2022-12-27,Nuggets,• Peyton Watson,,• Peyton Watson,placed on IL,
2023-01-09,Nuggets,• Peyton Watson,,• Peyton Watson,placed on IL with strained left adductor,
2025-02-01,Nuggets,• Peyton Watson,,• Peyton Watson,placed on IL with sprained right knee,
2025-03-05,Nuggets,• Peyton Watson,• Peyton Watson,,activated from IL,32.0
2025-04-02,Nuggets,• Peyton Watson,,• Peyton Watson,knee injury (DTD),
2015-11-16,76ers,• Phil Pressey,,• Phil Pressey,illness (DTD),
2015-11-18,76ers,• Phil Pressey,• Phil Pressey,,returned to lineup,2.0
2021-11-13,Raptors,• Precious Achiuwa,,• Precious Achiuwa,placed on IL with right shoulder tendinitis,
2021-11-19,Raptors,• Precious Achiuwa,• Precious Achiuwa,,activated from IL,6.0
2021-12-08,Raptors,• Precious Achiuwa,,• Precious Achiuwa,placed on IL with right shoulder tendinitis,
2021-12-12,Raptors,• Precious Achiuwa,,• Precious Achiuwa,placed on IL with NBA health and safety protocols,
2021-12-18,Raptors,• Precious Achiuwa,• Precious Achiuwa,,activated from IL,6.0
2021-12-21,Raptors,• Precious Achiuwa,,• Precious Achiuwa,placed on IL with NBA health and safety protocols,
2021-12-30,Raptors,• Precious Achiuwa,• Precious Achiuwa,,activated from IL,9.0
2022-11-10,Raptors,• Precious Achiuwa,,• Precious Achiuwa,placed on IL with torn ligament in right ankle,
2023-01-02,Raptors,• Precious Achiuwa,• Precious Achiuwa,,activated from IL,53.0
2023-03-22,Raptors,• Precious Achiuwa,,• Precious Achiuwa,tightness in right hamstring (DTD),
2023-03-26,Raptors,• Precious Achiuwa,• Precious Achiuwa,,returned to lineup,4.0
2023-10-30,Raptors,• Precious Achiuwa,,• Precious Achiuwa,placed on IL with groin injury,
2023-11-11,Raptors,• Precious Achiuwa,• Precious Achiuwa,,activated from IL,12.0
2023-11-22,Raptors,• Precious Achiuwa,,• Precious Achiuwa,placed on IL with sore right knee,
2023-11-24,Raptors,• Precious Achiuwa,• Precious Achiuwa,,activated from IL,2.0
2024-10-20,Knicks,• Precious Achiuwa,,• Precious Achiuwa,strained left hamstring (out indefinitely),
2024-10-21,Knicks,• Precious Achiuwa,,• Precious Achiuwa,placed on IL with strained left hamstring (date approximate),
2024-12-05,Knicks,• Precious Achiuwa,• Precious Achiuwa,,activated from IL,45.0
2025-03-06,Knicks,• Precious Achiuwa,,• Precious Achiuwa,hamstring injury (DTD),
2025-03-07,Knicks,• Precious Achiuwa,• Precious Achiuwa,,returned to lineup,1.0
2021-12-14,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with NBA health and safety protocols,
2021-12-23,Knicks,• Quentin Grimes,• Quentin Grimes,,activated from IL,9.0
2022-02-07,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with sore left knee,
2022-02-10,Knicks,• Quentin Grimes,• Quentin Grimes,,activated from IL,3.0
2022-02-26,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with right knee injury,
2022-03-18,Knicks,• Quentin Grimes,• Quentin Grimes,,activated from IL,20.0
2022-03-27,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with sore right knee,
2022-04-03,Knicks,• Quentin Grimes,• Quentin Grimes,,activated from IL,7.0
2022-04-06,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with sore right knee (out for season),
2022-10-19,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with foot injury,
2022-11-02,Knicks,• Quentin Grimes,• Quentin Grimes,,activated from IL,14.0
2022-12-21,Knicks,• Quentin Grimes,,• Quentin Grimes,sprained right ankle (DTD),
2022-12-23,Knicks,• Quentin Grimes,• Quentin Grimes,,returned to lineup,2.0
2023-04-23,Knicks,• Quentin Grimes,,• Quentin Grimes,bruised right shoulder (DTD),
2023-04-30,Knicks,• Quentin Grimes,• Quentin Grimes,,returned to lineup,7.0
2023-11-17,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with sprained left wrist,
2023-11-20,Knicks,• Quentin Grimes,• Quentin Grimes,,activated from IL,3.0
2023-12-30,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with illness,
2023-12-31,Knicks,• Quentin Grimes,• Quentin Grimes,,activated from IL,1.0
2024-02-01,Knicks,• Quentin Grimes,,• Quentin Grimes,placed on IL with sprained right knee,
2024-02-24,Pistons,• Quentin Grimes,• Quentin Grimes,,activated from IL,23.0
2024-03-03,Pistons,• Quentin Grimes,,• Quentin Grimes,sore right knee (DTD),
2024-03-07,Pistons,• Quentin Grimes,,• Quentin Grimes,placed on IL with sore right knee,
2024-03-11,Pistons,• Quentin Grimes,• Quentin Grimes,,activated from IL,4.0
2024-03-16,Pistons,• Quentin Grimes,,• Quentin Grimes,placed on IL with bruised/sore right knee (out for season),
2024-11-25,Mavericks,• Quentin Grimes,,• Quentin Grimes,placed on IL with illness,
2024-11-27,Mavericks,• Quentin Grimes,• Quentin Grimes,,activated from IL,2.0
2025-01-20,Mavericks,• Quentin Grimes,,• Quentin Grimes,placed on IL with back spasms,
2025-01-22,Mavericks,• Quentin Grimes,• Quentin Grimes,,activated from IL,2.0
2025-03-14,76ers,• Quentin Grimes,,• Quentin Grimes,placed on IL with illness,
2025-03-15,76ers,• Quentin Grimes,• Quentin Grimes,,activated from IL,1.0
2025-04-11,76ers,• Quentin Grimes,,• Quentin Grimes,shoulder injury (DTD),
2025-04-13,76ers,• Quentin Grimes,• Quentin Grimes,,returned to lineup,2.0
2015-10-30,Kings,• Quincy Acy,,• Quincy Acy,placed on IL,
2015-10-31,Kings,• Quincy Acy,• Quincy Acy,,activated from IL,1.0
2016-11-15,Mavericks,• Quincy Acy,,• Quincy Acy,eye contusion (DTD),
2017-02-06,Nets,• Quincy Acy,,• Quincy Acy,sprained left ankle (DTD),
2017-02-07,Nets,• Quincy Acy,,• Quincy Acy,placed on IL with sprained left ankle,
2017-03-01,Nets,• Quincy Acy,• Quincy Acy,,activated from IL,22.0
2017-03-29,Nets,• Quincy Acy,,• Quincy Acy,ankle injury (DTD),
2017-03-30,Nets,• Quincy Acy,,• Quincy Acy,placed on IL with ankle injury,
2017-04-02,Nets,• Quincy Acy,• Quincy Acy,,activated from IL,3.0
2017-04-09,Nets,• Quincy Acy,,• Quincy Acy,sore left ankle (out for season),
2017-10-28,Nets,• Quincy Acy,,• Quincy Acy,strained left groin (DTD),
2017-10-29,Nets,• Quincy Acy,,• Quincy Acy,placed on IL with strained left groin,
2017-11-06,Nets,• Quincy Acy,• Quincy Acy,,activated from IL,8.0
2018-02-06,Nets,• Quincy Acy,,• Quincy Acy,placed on IL with strained right middle finger,
2018-02-10,Nets,• Quincy Acy,• Quincy Acy,,activated from IL,4.0
2024-11-22,Lakers,• Quincy Olivari,,• Quincy Olivari,sprained right ankle (DTD),
2024-11-26,Lakers,• Quincy Olivari,• Quincy Olivari,,returned to lineup,4.0
2015-10-27,Pelicans,• Quincy Pondexter,,• Quincy Pondexter,placed on IL recovering from arthroscopic surgery on left knee (out for season),
2016-01-11,Pelicans,• Quincy Pondexter,,• Quincy Pondexter,surgery on left knee to repair cartilage damage (out for season),
2016-10-24,Pelicans,• Quincy Pondexter,,• Quincy Pondexter,recovering from surgery on left knee (out for season),
2016-10-26,Pelicans,• Quincy Pondexter,,• Quincy Pondexter,placed on IL with recovering from surgery on left knee (out for season),
2017-01-03,Pelicans,• Quincy Pondexter,,• Quincy Pondexter,arthroscopic surgery on left knee (out for season),
2017-10-17,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2017-10-20,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,3.0
2017-10-23,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2017-10-27,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,4.0
2017-10-29,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2017-11-13,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,15.0
2017-11-16,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2017-11-24,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,8.0
2017-11-25,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2017-11-27,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,2.0
2017-11-29,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2017-12-06,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,7.0
2017-12-27,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2018-01-12,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,16.0
2018-01-13,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2018-02-02,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,20.0
2018-02-03,Warriors,• Quinn Cook,,• Quinn Cook,placed on IL,
2018-02-24,Warriors,• Quinn Cook,• Quinn Cook,,activated from IL,21.0
2021-04-01,Cavaliers,• Quinn Cook,,• Quinn Cook,player became a free agent,
2020-12-22,Spurs,• Quinndary Weatherspoon,,• Quinndary Weatherspoon,left knee injury (DTD),
2021-01-27,Spurs,• Quinndary Weatherspoon,• Quinndary Weatherspoon,,returned to lineup,36.0
2021-02-13,Spurs,• Quinndary Weatherspoon,,• Quinndary Weatherspoon,placed on IL with NBA health and safety protocols,
2021-02-27,Spurs,• Quinndary Weatherspoon,,• Quinndary Weatherspoon,placed on IL for conditioning,
2021-03-02,Spurs,• Quinndary Weatherspoon,• Quinndary Weatherspoon,,activated from IL,3.0
2022-03-28,Warriors,• Quinndary Weatherspoon,,• Quinndary Weatherspoon,placed on IL with sore left ankle,
2022-03-30,Warriors,• Quinndary Weatherspoon,• Quinndary Weatherspoon,,activated from IL,2.0
2022-04-02,Warriors,• Quinndary Weatherspoon,,• Quinndary Weatherspoon,placed on IL with sore left ankle,
2022-04-03,Warriors,• Quinndary Weatherspoon,• Quinndary Weatherspoon,,activated from IL,1.0
2025-04-08,Warriors,• Quinten Post,,• Quinten Post,placed on IL with illness,
2025-04-11,Warriors,• Quinten Post,• Quinten Post,,activated from IL,3.0
2019-11-24,Knicks,• R.J. Barrett,,• R.J. Barrett,illness (DTD),
2019-11-27,Knicks,• R.J. Barrett,• R.J. Barrett,,returned to lineup,3.0
2020-01-17,Knicks,• R.J. Barrett,,• R.J. Barrett,sprained right ankle (DTD),
2020-01-18,Knicks,• R.J. Barrett,,• R.J. Barrett,placed on IL with sprained right ankle,
2020-02-06,Knicks,• R.J. Barrett,• R.J. Barrett,,activated from IL,19.0
2021-12-02,Knicks,• R.J. Barrett,,• R.J. Barrett,placed on IL with illness,
2021-12-04,Knicks,• R.J. Barrett,• R.J. Barrett,,activated from IL,2.0
2021-12-12,Knicks,• R.J. Barrett,,• R.J. Barrett,placed on IL with NBA health and safety protocols,
2021-12-25,Knicks,• R.J. Barrett,• R.J. Barrett,,activated from IL,13.0
2022-02-10,Knicks,• R.J. Barrett,,• R.J. Barrett,placed on IL with sprained left ankle,
2022-02-25,Knicks,• R.J. Barrett,• R.J. Barrett,,activated from IL,15.0
2022-04-09,Knicks,• R.J. Barrett,,• R.J. Barrett,sprained right knee (out for season),
2022-12-29,Knicks,• R.J. Barrett,,• R.J. Barrett,placed on IL with laceration on right index finger,
2023-01-11,Knicks,• R.J. Barrett,• R.J. Barrett,,activated from IL,13.0
2023-04-02,Knicks,• R.J. Barrett,,• R.J. Barrett,placed on IL with illness,
2023-04-07,Knicks,• R.J. Barrett,• R.J. Barrett,,activated from IL,5.0
2023-11-01,Knicks,• R.J. Barrett,,• R.J. Barrett,knee injury (DTD),
2023-11-03,Knicks,• R.J. Barrett,,• R.J. Barrett,placed on IL with knee injury,
2023-11-06,Knicks,• R.J. Barrett,• R.J. Barrett,,activated from IL,3.0
2023-11-13,Knicks,• R.J. Barrett,,• R.J. Barrett,migraine headache (DTD),
2023-11-15,Knicks,• R.J. Barrett,,• R.J. Barrett,placed on IL with migraine headache,
2023-11-17,Knicks,• R.J. Barrett,• R.J. Barrett,,activated from IL,2.0
2023-11-18,Knicks,• R.J. Barrett,• R.J. Barrett,,returned to lineup,
2024-01-28,Raptors,• R.J. Barrett,,• R.J. Barrett,placed on IL with left knee inflammation,
2024-02-04,Raptors,• R.J. Barrett,• R.J. Barrett,,activated from IL,7.0
2024-02-05,Raptors,• R.J. Barrett,,• R.J. Barrett,placed on IL with left knee injury,
2024-02-06,Raptors,• R.J. Barrett,• R.J. Barrett,,activated from IL,1.0
2024-02-23,Raptors,• R.J. Barrett,,• R.J. Barrett,placed on IL with left knee injury,
2024-02-25,Raptors,• R.J. Barrett,• R.J. Barrett,,activated from IL,2.0
2024-03-09,Raptors,• R.J. Barrett,,• R.J. Barrett,illness (DTD),
2024-03-11,Raptors,• R.J. Barrett,• R.J. Barrett,,returned to lineup,2.0
2024-04-03,Raptors,• R.J. Barrett,,• R.J. Barrett,left knee injury (DTD),
2024-04-04,Raptors,• R.J. Barrett,• R.J. Barrett,,returned to lineup,1.0
